title,url,image_url,price,image_hash,company
"Mpow Car Phone Mount, Dashboard Windshield Car Phone Holder with Long Arm, Strong Sticky Gel Suction Cup, Anti-Shake Stabilizer Compatible iPhone 11/11 Pro/Xs Max/XS/XR/X/8/7, Galaxy, Moto and More",https://www.amazon.ca/Mpow-Windshield-Anti-Shake-Stabilizer-Compatible/dp/B07X3ZXTDY?dchild=1,https://m.media-amazon.com/images/I/81AH7R4hOPL._AC_UL320_.jpg,12.91,"[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]",Amazon
Seagate Portable 1TB External Hard Drive HDD – USB 3.0 for PC Laptop and Mac (STGX1000400),https://www.amazon.ca/Seagate-Portable-External-Drive-STGX1000400/dp/B07CRG7BBH?dchild=1,https://m.media-amazon.com/images/I/81tjLksKixL._AC_UL320_.jpg,64.99,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]",Amazon
Seagate BarraCuda 2TB Internal Hard Drive HDD 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch Frustration Free Packaging,https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-3-5-Inch/dp/B07H2RR55Q?dchild=1,https://m.media-amazon.com/images/I/71Czt9ypIbL._AC_UL320_.jpg,74.99,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",Amazon
Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16),https://www.amazon.ca/Corsair-Vengeance-3200MHz-Desktop-Memory/dp/B0143UM4TC?dchild=1,https://m.media-amazon.com/images/I/51kHiPeTSmL._AC_UL320_.jpg,94.99,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",Amazon
"Anker 4-Port USB 3.0 Ultra Slim Data Hub for MacBook, Mac Pro/Mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",https://www.amazon.ca/Anker-4-Port-Macbook-Surface-Notebook/dp/B00XMD7KPU?dchild=1,https://m.media-amazon.com/images/I/51Byra+vCUL._AC_UL320_.jpg,19.99,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",Amazon
"TCL 43S425-CA 4K Ultra HD Smart LED Television (2019), 43""",https://www.amazon.ca/TCL-43S425-CA-Ultra-Smart-Television/dp/B07DXT8XDQ?dchild=1,https://m.media-amazon.com/images/I/714ElWQ4JwL._AC_UL320_.jpg,318.0,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",Amazon
"Duracell - CopperTop AA Alkaline Batteries - long lasting, all-purpose Double A battery for household and business -20 count",https://www.amazon.ca/Duracell-CopperTop-Batteries-all-purpose-household/dp/B002UXRXEG?dchild=1,https://m.media-amazon.com/images/I/71br624-J4L._AC_UL320_.jpg,18.99,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",Amazon
"HeimVision HM203 Security Camera, 1080P Surveillance WiFi Camera with Night Vision/PTZ/Two-Way Audio, 2.4Ghz Wireless Home IP Camera for Pet/ Baby/ Elder/ Dog Camera Monitor, Cloud Service/ MicroSD Support",https://www.amazon.ca/Heimvision-Security-Surveillance-Two-Way-Wireless/dp/B07PX1YXVM?dchild=1,https://m.media-amazon.com/images/I/71yKQ6vWgiL._AC_UL320_.jpg,39.99,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]",Amazon
"LK [3 Pack] Screen Protector for iPhone 11 and iPhone XR Tempered Glass, (Case Friendly) DoubleDefence - 6.1 inch",https://www.amazon.ca/LK-Protector-Tempered-DoubleDefence-Replacement/dp/B07G36QHZS?dchild=1,https://m.media-amazon.com/images/I/61TcGQFWOrL._AC_UL320_.jpg,9.99,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1]",Amazon
"Fitbit Charge 4 fitness and Activity Tracker with Built-In Gps, Heart Rate, Rosewood, One Size",https://www.amazon.ca/Fitbit-fitness-Activity-Tracker-Rosewood/dp/B085LFG2XQ?dchild=1,https://m.media-amazon.com/images/I/71VAkkHea6L._AC_UL320_.jpg,129.95,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",Amazon
